id,name,city,state,category,specialties,procedures,min_price,max_price,nabh_accredited,jci_accredited,insurance_schemes,lead_doctors,phone,email,website,address,lat,lng,international_patients,beds,gmap_link,technology_stack,avg_length_of_stay,lead_doctor_experience,image_url
apollo-chennai,Apollo Hospitals Greams Road,Chennai,Tamil Nadu,Premium Multi-Specialty,"Cardiac Surgery,Interventional Cardiology,Neurosurgery,Oncology,Organ Transplant,Orthopedics,Gastroenterology,Nephrology,Robotic Surgery","Coronary Angioplasty,CABG Surgery,Heart Transplantation,Liver Transplant,Kidney Transplant,Brain Tumor Surgery,Total Knee Replacement,Total Hip Replacement,Robotic Surgery,Spine Surgery,Bone Marrow Transplant",150000,3000000,Yes,Yes,"CMCHIS,PM-JAY,Private Insurance","Dr. A.M. Karthigesan,Dr. I Sathyamurthy",+91-9289678787,info@apollohospitals.com,https://www.apollohospitals.com/chennai,21 Greams Lane Off Greams Road Chennai 600006,13.0633,80.2455,Yes,1000.0,"https://www.google.com/maps/search/?api=1&query=13.0633,80.2455","Da Vinci Robotic System, Advanced Cath Labs, 3D Imaging","7 Days Hospital, 14 Days Hotel",25+ Years,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=1000&auto=format&fit=crop
miot-chennai,MIOT International Hospital,Chennai,Tamil Nadu,Premium Multi-Specialty,"Orthopedics,Cardiac Surgery,Neurosurgery,Oncology,Nephrology,Gastroenterology,Organ Transplant,Robotic Surgery","Total Knee Replacement,Total Hip Replacement,Revision Joint Replacement,Coronary Angioplasty,CABG Surgery,Brain Tumor Surgery,Spine Surgery,Kidney Transplant,Liver Transplant,Robotic Surgery",100000,2500000,Yes,Yes,"CMCHIS,PM-JAY,Private Insurance","Dr. Prithvi Mohandas,Dr. Senthilvelan Rajagopalan,Dr. Balaraman Palaniappan,Dr. M.S. Meenakshi",+91-44-22490000,enquiry@miotinternational.com,https://www.miotinternational.com,4/112 Mount Poonamallee Road Manapakkam Chennai 600089,13.0176,80.1611,Yes,1000.0,"https://www.google.com/maps/search/?api=1&query=13.0176,80.1611","Da Vinci Robotic System, Advanced Cath Labs, 3D Imaging","7 Days Hospital, 14 Days Hotel",25+ Years,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=1000&auto=format&fit=crop
rela-chennai,Dr. Rela Institute & Medical Centre,Chennai,Tamil Nadu,Super Specialty,"Liver Transplant,Gastroenterology,Nephrology,Cardiac Surgery,Neurosurgery,Oncology,Obstetrics","Liver Transplant,Multi-Organ Transplant,Kidney Transplant,CABG Surgery,Brain Tumor Surgery,Laparoscopic Surgery,Bariatric Surgery",200000,3500000,Yes,No,"PM-JAY,Private Insurance",Prof. Mohamed Rela,+91-44-22300000,info@relainstitute.com,https://www.relainstitute.com,No 7 CLC Works Road Chromepet Chennai 600044,12.9634,80.139,Yes,450.0,"https://www.google.com/maps/search/?api=1&query=12.9634,80.139","Da Vinci Robotic System, Advanced Cath Labs, 3D Imaging","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
srmc-chennai,Sri Ramachandra Medical Centre,Chennai,Tamil Nadu,University Teaching Hospital,"Cardiac Surgery,Neurosurgery,Nephrology,Orthopedics,Oncology,Gastroenterology,Obstetrics,Organ Transplant","Coronary Angioplasty,CABG Surgery,Heart Transplantation,Kidney Transplant,Liver Transplant,Brain Tumor Surgery,Total Knee Replacement,Bone Marrow Transplant,Spine Surgery",100000,2500000,Yes,Yes,"CMCHIS,PM-JAY,Private Insurance","Dr. J.S. Satyanarayana Murthy,Dr. S. Thanikachalam,Dr. T.R. Muralidharan",+91-44-45928500,info@sriramachandra.edu.in,https://srmc.sriramachandra.edu,No.1 Ramachandra Nagar Porur Chennai 600116,13.0337,80.1566,Yes,1700.0,"https://www.google.com/maps/search/?api=1&query=13.0337,80.1566","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",25+ Years,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=1000&auto=format&fit=crop
fortis-malar-chennai,Fortis Malar Hospital (MGM Malar),Chennai,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Interventional Cardiology,Neurosurgery,Orthopedics,Urology,Gynecology","Coronary Angioplasty,CABG Surgery,Valve Replacement,Brain Tumor Surgery,Total Knee Replacement,Minimally Invasive Surgery",120000,2000000,Yes,No,"CMCHIS,PM-JAY,Private Insurance","Dr. A.B. Gopalamurugan,Dr. G. Manohar",+91-44-42899000,info@fortismalar.com,https://www.fortismalar.com,52 1st Main Road Gandhi Nagar Adyar Chennai 600020,13.0012,80.2565,Yes,180.0,"https://www.google.com/maps/search/?api=1&query=13.0012,80.2565","Advanced Minimally Invasive Laparoscopic Systems, 128-slice CT","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
kauvery-chennai,Kauvery Hospital Chennai (Alwarpet),Chennai,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Neurosurgery,Nephrology,Orthopedics,Gastroenterology,Oncology,Critical Care","Coronary Angioplasty,CABG Surgery,Valve Replacement,Brain Tumor Surgery,Total Knee Replacement,Kidney Transplant,Laparoscopic Surgery",100000,2000000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",Dr. Chandrakumar,+91-44-40006000,care@kauveryhospital.com,https://www.kauveryhospital.com,No 81 TTK Road Alwarpet Chennai 600018,13.0339,80.2551,Yes,300.0,"https://www.google.com/maps/search/?api=1&query=13.0339,80.2551","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
vijaya-chennai,Vijaya Hospital,Chennai,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Cardiac Electrophysiology,Orthopedics,Neurosurgery,Gastroenterology","Coronary Angioplasty,CABG Surgery,Valve Replacement,Beating Heart Surgery,Total Knee Replacement,Brain Tumor Surgery",100000,2000000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",Dr. B. NagiReddy,+91-44-24806000,info@vijayahospital.in,https://www.vijayahospital.in,180 NSK Salai Vadapalani Chennai 600026,13.049,80.2094,Yes,500.0,"https://www.google.com/maps/search/?api=1&query=13.049,80.2094","Advanced Minimally Invasive Laparoscopic Systems, 128-slice CT","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
frontier-lifeline-chennai,Frontier Lifeline Hospital,Chennai,Tamil Nadu,Cardiac Specialty,"Cardiac Surgery,Interventional Cardiology,Pediatric Cardiology","Coronary Angioplasty,CABG Surgery,Valve Replacement,Mitral Valve Surgery,Pediatric Cardiac Surgery,Heart Transplantation",150000,2500000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",Dr. K.M. Cherian,+91-44-26560016,info@frontierlifeline.com,https://frontierlifeline.com,R-30-C Ambattur Industrial Estate Mogappair Chennai 600101,13.1088,80.1763,Yes,200.0,"https://www.google.com/maps/search/?api=1&query=13.1088,80.1763",Advanced Minimally Invasive & Laparoscopic Systems,"7 Days Hospital, 14 Days Hotel",15+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
gleneagles-health-city-chennai,Gleneagles Health City Chennai,Chennai,Tamil Nadu,Premium Multi-Specialty,"Liver Transplant,Cardiac Surgery,Oncology,Neurosurgery,Nephrology,Organ Transplant","Liver Transplant,Multi-Organ Transplant,Coronary Angioplasty,CABG Surgery,Cancer Surgery,Kidney Transplant",200000,4000000,Yes,Yes,"CMCHIS,PM-JAY,Private Insurance","Dr. Mohamed Rela,Dr. Karthick Anjaneyan",+91-44-44777000,info@gleneagleshealth.in,https://www.gleneagleshealthcity.com,439 Cheran Nagar Perumbakkam Sholinganallur Chennai 600100,12.8967,80.2218,Yes,800.0,"https://www.google.com/maps/search/?api=1&query=12.8967,80.2218","Da Vinci Robotic System, Advanced Cath Labs, 3D Imaging","7 Days Hospital, 14 Days Hotel",25+ Years,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=1000&auto=format&fit=crop
billroth-chennai,Billroth Hospitals,Chennai,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Gastroenterology,Urology,Oncology,Orthopedics","Coronary Angioplasty,CABG Surgery,Kidney Stone Surgery,Laparoscopic Surgery,Total Knee Replacement",100000,1500000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",Dr. V. Jeganathan,+91-44-26441111,info@billrothhospitals.com,https://www.billrothhospitals.com,43 Lakshmi Talkies Road Shenoy Nagar Chennai 600030,13.0844,80.2218,Yes,600.0,"https://www.google.com/maps/search/?api=1&query=13.0844,80.2218","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
